13
1;1;VINHO SAN MARINO;15;2;24;147;800;9/9/2019
4;2;HERMANOTEU NA TERRA DE GODAH;19.99;12;CIA DE COMEDIA OS MELHORES DO MUNDO;COMEDIA;120
6;3;UNDER THE DOME;29.99;7;SOB A REDOMA - PROLOGO;STEPHEN KING;EDITORA BRASIL;2013
2;4;SUMMER ELETRO HITS;15;16;ELETRO HITS DO BRASIL;ELETRONICA;VARIOUS
7;5;COXINHA;1.5;22;100;1;1;15/6/2017
3;6;BRIGADEIRO;0.75;9;62;1;1;18/8/2017
3;7;DOCE DE LEITE;3.35;30;200;1;1;18/12/2017
5;8;BANANA;1.05;9;1234;11/6/2017;11/7/2017
4;9;O AUTO DA COMPADECIDA;24.55;28;VERSAO ESTENDIDA;COMEDIA BRASILEIRA;90
1;10;da;2;10;2;5;100;89/89/89
1;11;4;6;4;4;4;4;4/5/6
1;12;4;5;6;9;8;9;10/12/1000
1;13;5];1;1;5;6;1;1/12/1002
